hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.593750,0.433333,0.181818,0.139272,1.260000,0.051846,-1
0.937500,0.700000,0.727273,0.063990,0.820000,0.036913,-1
0.333333,0.400000,0.000000,0.048934,0.160000,0.012248,-1
0.718750,0.433333,0.000000,0.101631,1.020000,0.046477,-1
0.822917,0.233333,0.363636,0.056462,0.240000,0.019966,-1
0.781250,0.000000,0.818182,0.018821,0.140000,0.011577,-1
0.708333,0.533333,0.545455,0.146801,1.000000,0.043121,-1
0.781250,0.966667,0.818182,0.063990,0.940000,0.040201,-1
0.395833,0.033333,0.272727,0.048934,0.120000,0.016040,-1
0.854167,1.000000,0.818182,0.041405,0.220000,0.016946,-1
0.843750,0.966667,0.363636,0.086575,0.520000,0.036577,-1
0.604167,0.566667,0.181818,0.063990,0.360000,0.024530,-1
0.250000,0.000000,0.454545,0.086575,0.700000,0.029027,-1
0.270833,0.066667,0.454545,0.056462,0.240000,0.015604,-1
0.833333,0.533333,0.000000,0.011292,0.120000,0.011577,-1
0.729167,0.866667,0.000000,0.116688,0.660000,0.041107,-1
0.333333,0.900000,0.818182,0.161857,0.620000,0.047651,-1
0.375000,0.800000,0.818182,0.041405,0.180000,0.012584,-1
0.666667,0.300000,0.272727,0.101631,1.640000,0.075235,-1
0.906250,0.033333,0.272727,0.169385,2.380000,0.100604,-1
0.416667,0.566667,1.000000,0.086575,0.300000,0.026342,-1
0.385417,0.700000,0.272727,0.048934,0.200000,0.020973,-1
0.635417,0.533333,0.727273,0.079046,0.340000,0.030403,-1
0.875000,0.533333,1.000000,0.079046,0.520000,0.036074,-1
0.875000,0.433333,0.909091,0.116688,0.820000,0.038423,-1
0.729167,0.266667,0.272727,0.063990,0.360000,0.021644,-1
0.677083,0.900000,0.454545,0.116688,0.700000,0.034396,-1
0.687500,0.200000,0.818182,0.063990,0.260000,0.016275,-1
0.197917,0.400000,0.909091,0.101631,0.220000,0.020973,-1
0.864583,0.833333,0.727273,0.063990,0.500000,0.025000,-1
0.937500,0.400000,0.636364,0.026349,0.140000,0.009564,-1
0.614583,0.133333,0.181818,0.018821,0.120000,0.008893,-1
0.500000,0.500000,0.363636,0.139272,1.400000,0.062752,-1
0.572917,0.600000,0.636364,0.086575,0.500000,0.027685,-1
0.718750,0.466667,0.727273,0.048934,0.240000,0.019497,-1
0.708333,0.666667,0.000000,0.109159,0.720000,0.040436,-1
0.572917,0.000000,0.727273,0.048934,0.280000,0.014933,-1
0.552083,0.100000,0.727273,0.041405,0.180000,0.016846,-1
0.687500,0.966667,0.363636,0.026349,0.040000,0.019631,-1
0.635417,0.500000,0.090909,0.056462,0.320000,0.027886,-1
0.395833,0.566667,0.727273,0.079046,0.240000,0.026678,-1
0.645833,0.433333,0.818182,0.146801,2.700000,0.086074,-1
0.697917,0.933333,0.818182,0.086575,0.680000,0.052181,-1
0.885417,0.933333,0.818182,0.033877,0.120000,0.019295,-1
0.218750,0.100000,0.181818,0.018821,0.060000,0.007550,-1
0.958333,0.400000,0.363636,0.048934,0.380000,0.018289,-1
0.979167,0.966667,0.363636,0.207026,3.940000,0.157718,-1
0.677083,0.200000,0.363636,0.048934,0.280000,0.014933,-1
0.572917,0.100000,1.000000,0.033877,0.200000,0.022315,-1
0.708333,0.733333,0.090909,0.018821,0.120000,0.008221,-1
0.270833,0.600000,0.454545,0.101631,0.160000,0.024899,-1
0.572917,0.733333,0.454545,0.063990,0.340000,0.022483,-1
0.218750,0.900000,0.636364,0.101631,0.360000,0.023658,-1
0.364583,0.300000,0.636364,0.056462,0.100000,0.012919,-1
0.250000,0.966667,0.454545,0.131744,1.220000,0.078356,-1
0.000000,0.933333,0.727273,0.169385,3.620000,0.142617,-1
0.572917,0.633333,0.818182,0.199498,1.220000,0.065168,-1
0.750000,0.033333,0.000000,0.056462,0.280000,0.019631,-1
0.843750,0.433333,0.090909,0.079046,0.780000,0.031711,-1
0.885417,0.933333,0.363636,0.877039,13.040000,0.432718,-1
0.989583,0.366667,1.000000,0.033877,0.240000,0.012248,-1
0.677083,0.433333,0.272727,0.011292,0.080000,0.008792,-1
0.562500,0.666667,0.000000,0.041405,0.180000,0.012248,-1
0.843750,0.500000,0.818182,0.154329,0.980000,0.039765,-1
0.520833,0.533333,0.909091,0.176913,0.460000,0.041812,-1
0.177083,0.266667,1.000000,0.319950,2.960000,0.112919,-1
0.708333,0.866667,0.090909,0.094103,0.740000,0.035067,-1
0.593750,0.200000,0.090909,0.056462,0.140000,0.016946,-1
0.593750,0.833333,0.181818,0.018821,0.080000,0.012718,-1
0.750000,0.733333,0.727273,0.184442,2.580000,0.084732,-1
0.239583,0.033333,0.090909,0.079046,0.340000,0.025168,-1
0.656250,0.366667,0.181818,0.033877,0.180000,0.012248,-1
0.531250,0.000000,0.636364,0.048934,0.220000,0.014262,-1
0.218750,0.933333,0.818182,0.079046,0.760000,0.035235,-1
0.406250,0.666667,0.272727,0.033877,0.160000,0.014262,-1
0.645833,0.900000,0.636364,0.086575,0.400000,0.024329,-1
0.750000,0.966667,0.545455,0.048934,0.220000,0.026846,-1
0.739583,0.000000,0.636364,0.063990,1.000000,0.038423,-1
0.531250,0.366667,0.363636,0.071518,0.220000,0.016946,-1
